Country,Region,length_flaccid,length_erect,circumf_flaccid,circumf_erect,volume_erect,volume_flaccid,Method,N,Source,growth_length,growth_circumf,growth_volume
Canada,North America,9.5,13.92,9.8,12.32,168.13,72.6,Measured,890,"Siminoski K. et all. The relationships among height, penile length, and foot size. Ann Sex Res 1993",1.465263158,1.257142857,2.31584022
Cape Verde,Africa,9.6,14.05,10,12.38,171.36,76.39,Measured,57,Lynn et al.. 2012. An examination of Rushton’s theory of differences in penis length,1.463541667,1.238,2.243225553
Central African Rep.,Africa,9.8,15.33,9.8,12.07,177.72,74.9,Self reported,59,African Journal of Urology 1998,1.564285714,1.231632653,2.372763685
Chad,Africa,9.8,15.39,9.8,12.12,179.9,74.9,Measured,201,Central Hospital of N'Djaména  1989,1.570408163,1.236734694,2.401869159
Chile,South America,9.2,14.59,9.6,12.28,175.08,67.47,Measured,789,Otero Andrade. Fabio. 2008 Universidad de Chile. Dpt. de Urologia. 1998,1.585869565,1.279166667,2.59493108
China,Asia,8.8,12.9,8.9,11.14,127.39,55.47,Measured,8976,Chen XB. Li RX. Yang HN. Dai JC. 2014,1.465909091,1.251685393,2.296556697
Colombia,South America,10.5,16.75,10.1,12.98,224.57,85.24,Measured,2479,18 year's old Military survey. Otero Andrade. Fabio E. y Cajigas Plata. Jaime Andrés. Bogo. 2008,1.595238095,1.285148515,2.634561239
Congo-Brazzaville,Africa,11,17.33,10.3,12.74,223.83,92.87,Measured,157,Lynn et al.. 2012. An examination of Rushton’s theory of differences in penis length,1.575454545,1.236893204,2.410143211
Costa Rica,Central America/Caribean,9.6,13.81,8.9,11.25,139.09,60.51,Measured,1800,"Journal of Urology, Revised 2015",1.438541667,1.264044944,2.298628326
Cote d'Ivoire,Africa,10.4,15.22,9.9,12.27,182.35,81.11,Measured,120,Lynn et al.. 2012. An examination of Rushton’s theory of differences in penis length,1.463461538,1.239393939,2.248181482
Croatia,Europe,11.8,14.77,10.4,12.99,198.33,101.56,Self reported,521,https://www.surveymonkey.com - 2015,1.251694915,1.249038462,1.952835762
Cuba,Central America/Caribean,11,15.87,9.6,12.13,185.82,80.67,Measured,289,Journal of Sexology 2002,1.442727273,1.263541667,2.303458535
Cyprus,Western Asia,8.3,12.17,8.9,11.59,130.09,52.32,Measured,400,Genital size measure survey 2015,1.46626506,1.302247191,2.486429664
Czech Republic,Europe,11.3,14.17,9.3,11.65,153.04,77.77,Self reported,1500,Internacionalizaci Univerzity v Praze. 2001,1.253982301,1.252688172,1.967853928
Denmark,Europe,12,15.07,10.6,13.26,210.86,107.3,Measured,854,University of Copenhagen - Urological Research Center and Andrology 2015,1.255833333,1.250943396,1.965144455
Dominican Republic,Central America/Caribean,11.1,15.99,9.6,12.17,188.46,81.41,Self reported,460,Lynn et al.. 2012. An examination of Rushton’s theory of differences in penis lengthand circumference and r-K life history theory in 113 populations,1.440540541,1.267708333,2.314949023
DR Congo,Africa,11.4,17.93,10.6,13.05,242.99,101.93,Self reported,575,l’Universite Kongo / Mbanza-Luvaka. 1997,1.572807018,1.231132075,2.383890906
Ecuador,South America,11.1,17.59,10.5,13.44,252.85,97.38,Measured,1.00E+03,"University of Guayaquil, Ecuador- Dr. Cesar Cabezas Tamayo Guayaquil. 2013",1.584684685,1.28,2.596529061
Egypt,Africa,9.4,13.85,9.8,12.11,161.63,71.84,Measured,2036,Shalaby ME. Almohsen AE. El Shahid AR. Abd Al-Sameaa MT. Mostafa T. 2014,1.473404255,1.235714286,2.249860802
El Salvador,Central America/Caribean,8.8,12.71,8.5,10.75,116.88,50.6,Measured,127,"Centro integral de urologia, Universidad Evangélica de El Salvador, 2015",1.444318182,1.264705882,2.309881423
Estonia,Europe,11,13.78,10,12.54,172.44,87.54,Measured,847,Lynn et al.. 2012. An examination of Rushton’s theory of differences in penis length,1.252727273,1.254,1.969842358
Ethiopia,Africa,9.2,13.53,9.8,12.18,159.73,70.31,Self reported,89,Ethiopian Military health documention database (Extracted on 11 january 1980),1.470652174,1.242857143,2.271796331
Finland,Europe,9.2,13.59,8.9,11.2,135.66,57.99,Measured,426,Helsinki University Central Hospital - 2015,1.477173913,1.258426966,2.339368857
France,Europe,9.9,14.5,10.9,13.63,214.36,93.6,Measured,3260,Paris National Academy of Surgery (l'Academie nationale de chirurgie) 2011,1.464646465,1.250458716,2.29017094
Gambia,Africa,10.3,15.07,9.4,11.68,163.6,72.42,Self reported,83,https://www.surveymonkey.com - 2015,1.463106796,1.242553191,2.259044463
Georgia,Europe,9.4,13.87,9.2,11.46,144.96,63.31,Measured,97,Genital size survey 2015 Everyoneweb measurement,1.475531915,1.245652174,2.289685674
Germany,Europe,9.9,14.48,9.9,12.4,177.17,77.21,Measured,231,Schneider T.. Sperling H. Lümmen G. Syllwasschy J. Rübben H. 2001,1.462626263,1.252525253,2.294650952
Ghana,Africa,11,17.31,10.3,12.79,225.33,92.87,Self reported,233,Noguchi Memorial Institute for Medical Research (NMIMR) 2001,1.573636364,1.241747573,2.426294821
Greece,Europe,8.9,12.18,9.5,11.92,137.72,63.92,Measured,579,Spyropoulos E.. Borousas D. Mavrikos S. Dellis A. Bourounis M. Athanasiadis S.,1.368539326,1.254736842,2.15456821
Greenland,North America,9.4,13.87,9.8,12.3,166.98,71.84,Self reported,84,Genital size survey 2012 (http://genitalsize.com),1.475531915,1.255102041,2.324331849
Guatemala,Central America/Caribean,9.2,13.24,8.7,11,127.49,55.41,Measured,50,Longitud y grosor del pene - Hospital General de Enfermedades. Instituto Guatemalteco de Seguridad Social,1.439130435,1.264367816,2.300848222
Guyana,South America,9.3,14.75,8.7,11.08,144.1,56.02,Measured,133,Genital size measure survey 2015,1.586021505,1.273563218,2.572295609
Haiti,Central America/Caribean,10.8,15.67,9.5,12.1,182.57,77.56,Self reported,380,https://www.surveymonkey.com - 2015,1.450925926,1.273684211,2.353919546
Hawaii,Pacific Islands,9.1,13.21,9.1,11.5,139.02,59.97,Measured,120,Genital size measure survey 2015,1.451648352,1.263736264,2.31815908
Honduras,Central America/Caribean,8.6,12.4,8.7,11.05,120.49,51.8,Measured,100,"Estudio: Datos sobre el pene , El Heraldo Junio 2015 tag/715212-213",1.441860465,1.270114943,2.326061776
"Hong Kong SAR, China",Asia,8.2,11.19,8.6,10.7,101.95,48.26,Measured,269,Lynn et al.. 2012. An examination of Rushton’s theory of differences in penis length,1.364634146,1.244186047,2.112515541
Hungary,Europe,10,14.68,9.4,11.81,162.94,70.31,Self reported,480,https://www.surveymonkey.com - 2015,1.468,1.256382979,2.317451287
Iceland,Europe,9.9,14.56,9.6,12.01,167.12,72.61,Self reported,590,Krause. Jan Vinzenz. 2008 Institut fur Kondom Beratung,1.470707071,1.251041667,2.301611348
India,South Asia,8.8,12.93,9.2,11.49,135.84,59.27,Measured,301,K Promodum et al.; Penile length and circumference: an Indian study 2007,1.469318182,1.248913043,2.291884596
Indonesia,Southeast Asia,8.5,11.67,9.1,11.79,129.09,56.01,Self reported,2850,Universitas Indonesia. Laporan Hasil Penelitian.,1.372941176,1.295604396,2.304767006
Iran,South Asia,8.5,11.58,8.6,11.72,126.58,50.03,Measured,1600,Mehraban D1. Salehi M. Zayeri F. 2007,1.362352941,1.362790698,2.530081951
Iraq,South Asia,8.3,11.35,9.1,11.33,115.94,54.7,Measured,248,Issam S. Al-Azzawi - Arab Association of Urology- 2015,1.36746988,1.245054945,2.119561243
Ireland,Europe,8.7,12.78,10.1,12.69,163.77,70.62,Measured,860,NUI Galway/NUIG/UCG Ireland. 1999.,1.468965517,1.256435644,2.319031436
Israel,Western Asia,9.3,13.6,9,11.7,148.15,59.95,Self reported,350,Study conducted with 55 Israeli men 21 -78 Sepkowitz Research. 2005,1.462365591,1.3,2.471226022
Italy,Europe,8.5,12.5,9.7,12.19,147.81,63.64,Measured,3300,Ponchietti R. Mondaini N. Bonafè M. Di Loro F. Biscioni S. Masieri L. 2001,1.470588235,1.256701031,2.322595852
Jamaica,Central America/Caribean,11.3,16.3,9.5,12.01,187.1,81.16,Measured,59,Lynn et al.. 2012. An examination of Rushton’s theory of differences in penis length,1.442477876,1.264210526,2.305322819
Japan,Asia,8.6,12.6,9.2,11.5,132.6,57.92,Self reported,500,Dr. Nakajima. soldiers research. Japanese Journal of Sexology,1.465116279,1.25,2.289364641
